"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal_caption","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2017S004938    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701266,"B-10 (Llobregat)                                  ",860000,"Dimarts","Dm","Laboral",2017,6,"Juny",6,6,"Matí","Abast","432972.61","4582415.18","2.197161","41.388629"
"2017S006554    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701266,"Voluntaris Olímpics / Marina                      ",870000,"Dijous","Dj","Laboral",2017,7,"Juliol",27,15,"Tarda","Col.lisió fronto-lateral","432900.47","4582345.91","2.196308","41.387992"
"2017S000458    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",367504,"JOAN MIRÓ / Av Icària                             ","0035 0035","Dimarts","Dm","Laboral",2017,1,"Gener",17,13,"Matí","Col.lisió frontal","432666.8","4582710.68","2.193469","41.39126"
"2017S010684    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700654,"Litoral                                           ","0034S0034S","Dimecres","Dc","Laboral",2017,12,"Desembre",27,4,"Nit","Xoc contra element estàtic","433094.95","4582400.34","2.198622","41.388504"
"2017S008949    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700654,"Litoral / Arquitecte Sert                         ","0036 0036","Diumenge","Dg","Laboral",2017,10,"Octubre",29,19,"Tarda","Col.lisió lateral","433218.52","4582540.06","2.20009","41.389775"
"2017S009837    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700654,"Litoral                                           ","0042 0042","Diumenge","Dg","Laboral",2017,11,"Novembre",26,7,"Matí","Abast","433341.26","4582685.64","2.201545","41.391091"
"2017S008470    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",110009,"Ramon Turró                                       ","0002 0002","Dissabte","Ds","Laboral",2017,10,"Octubre",14,13,"Matí","Col.lisió lateral","432371.09","4582578.58","2.189955","41.390047"
"2017S000011    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700662,"AV LITORAL                                        ","0073 0073","Diumenge","Dg","Laboral",2017,1,"Gener",1,15,"Tarda","Col.lisió lateral","433205.1","4582713.55","2.199915","41.391332"
"2017S004229    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700884,"Voluntaris Olímpics                               ","9999 9999","Divendres","Dv","Laboral",2017,5,"Maig",12,12,"Matí","Caiguda interior vehicle","432898.25","4582311.08","2.196288","41.387686"
"2017S008252    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700664,"Arquitecte Sert                                   ","0008 0008","Divendres","Dv","Laboral",2017,10,"Octubre",6,14,"Tarda","Abast","433106.27","4582722.53","2.19873","41.391405"
"2017S004264    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",367504,"Marina / Doctor Trueta                            ","0022 0022","Dissabte","Ds","Laboral",2017,5,"Maig",13,18,"Tarda","Col.lisió lateral","432642.35","4582656.15","2.193188","41.390772"
"2017S007683    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",62609,"Icària / Àvila                                    ","0195 0197","Dissabte","Ds","Laboral",2017,9,"Setembre",16,20,"Tarda","Atropellament","433161.72","4582956.31","2.199362","41.393517"
"2017S004087    ",1,"Ciutat Vella",2,"el Barri Gòtic",177101,"Laietana / Argenteria                             ","0023 0023","Dilluns","Dl","Laboral",2017,5,"Maig",8,21,"Tarda","Col.lisió fronto-lateral","431432.45","4581889.07","2.178803","41.383761"
