"Codi_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Dia_setmana","ID_Dia_setmana","Tipus_dia","Any","Mes","Nom_mes","Dia_de_mes","Hora_de_dia","Torn","Tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2018S007338    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel                                         ","0029 0031","Dissabte","Ds","Laboral","2018",9,"Setembre","29","13","Matí","Caiguda interior vehicle","430989.45","4580870.75","2.173787","41.374544"
"2018S007339    ",8,"Nou Barris",53,"la Trinitat Nova",120807,"Dalt (Llobregat)                                  ","0381X0381X","Dissabte","Ds","Laboral","2018",9,"Setembre","29","21","Tarda","Abast multiple","432191.47","4588916.30","2.18741","41.44683"
"2018S007340    ",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",90502,"Còrsega / Sicília                                 ","0494 0494","Dissabte","Ds","Laboral","2018",9,"Setembre","29","21","Tarda","Col.lisió fronto-lateral","430723.49","4584187.02","2.169769","41.404378"
"2018S007341    ",1,"Ciutat Vella",1,"el Raval",296508,"Sant Antoni / Muntaner                            ","0074 0074","Dissabte","Ds","Laboral","2018",9,"Setembre","29","20","Tarda","Caiguda (dues rodes)","430185.39","4581844.56","2.163716","41.383367"
"2018S007342    ",9,"Sant Andreu",61,"la Sagrera",121402,"Felip II                                          ","0046 0052","Dissabte","Ds","Laboral","2018",9,"Setembre","29","23","Nit","Abast","432351.71","4585762.69","2.189368","41.418729"
"2018S007343    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",89004,"Consell de Cent / Casanova                        ","0227 0227","Dissabte","Ds","Laboral","2018",9,"Setembre","29","23","Nit","Abast","429705.62","4582102.30","2.158463","41.385637"
"2018S007344    ",1,"Ciutat Vella",1,"el Raval",269108,"Rambla                                            ","0002 0002","Diumenge","Dg","Laboral","2018",9,"Setembre","30","00","Nit","Atropellament","431229.51","4581077.20","2.176455","41.376735"
"2018S007345    ",2,"Eixample",5,"el Fort Pienc",197302,"Diagonal                                          ","0203 0203","Dissabte","Ds","Laboral","2018",9,"Setembre","29","23","Nit","Abast","431413.87","4583799.89","2.177784","41.400863"
"2018S007346    ",3,"Sants-Montjuïc",15,"Hostafrancs",169409,"Corts Catalanes                                   ","0275 0281","Diumenge","Dg","Laboral","2018",9,"Setembre","30","02","Nit","Atropellament","428511.39","4580559.18","2.144033","41.37153"
"2018S007347    ",5,"Sarrià-Sant Gervasi",23,"Sarrià",199400,"Manuel Girona / Marquès de Mulhacén               ","0002B0002B","Diumenge","Dg","Laboral","2018",9,"Setembre","30","02","Nit","Xoc contra element estàtic","426605.11","4582656.25","2.120904","41.390111"
"2018S007348    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",28000,"Augusta                                           ","0342B0342B","Diumenge","Dg","Laboral","2018",9,"Setembre","30","06","Matí","Abast","426844.45","4583772.87","2.123773","41.400266"
"2018S007349    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",242906,"Àvila / Pallars                                   ","0141 0143","Diumenge","Dg","Laboral","2018",9,"Setembre","30","06","Matí","Caiguda (dues rodes)","432675.61","4583471.94","2.19384","41.398105"
"2018S007349    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",242906,"Àvila / Pallars                                   ","0141 0143","Diumenge","Dg","Laboral","2018",9,"Setembre","30","06","Matí","Col.lisió fronto-lateral","432675.61","4583471.94","2.19384","41.398105"
"2018S007350    ",7,"Horta-Guinardó",40,"Montbau",260806,"Poesia / Àngel Marquès                            ","0009X0009X","Diumenge","Dg","Laboral","2018",9,"Setembre","30","08","Matí","Bolcada (més de dues rodes)","428492.08","4587297.42","2.143158","41.43227"
"2018S007350    ",7,"Horta-Guinardó",40,"Montbau",260806,"Poesia / Àngel Marquès                            ","0009X0009X","Diumenge","Dg","Laboral","2018",9,"Setembre","30","08","Matí","Col.lisió fronto-lateral","428492.08","4587297.42","2.143158","41.43227"
"2018S007351    ",1,"Ciutat Vella",1,"el Raval",701266,"Litoral (Llobregat)                               ","0021S0000","Diumenge","Dg","Laboral","2018",9,"Setembre","30","09","Matí","Abast multiple","431323.44","4580839.66","2.177624","41.374301"
"2018S007352    ",4,"Les Corts",21,"Pedralbes",144601,"Diagonal                                          ","0680X0680X","Diumenge","Dg","Laboral","2018",9,"Setembre","30","11","Matí","Abast","426813.82","4582391.40","2.123137","41.38797"
"2018S007353    ",9,"Sant Andreu",60,"Sant Andreu",245405,"Virgili / Parellada                               ","0024B0024B","Diumenge","Dg","Laboral","2018",9,"Setembre","30","11","Matí","Xoc contra element estàtic","432643.18","4587340.91","2.192773","41.433035"
"2018S007354    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",54509,"Aragó / Calàbria                                  ","0161 0161","Diumenge","Dg","Laboral","2018",9,"Setembre","30","15","Tarda","Col.lisió lateral","429172.44","4581714.14","2.151664","41.382226"
"2018S007355    ",8,"Nou Barris",52,"la Prosperitat",209900,"Meridiana                                         ","0535 0537","Diumenge","Dg","Laboral","2018",9,"Setembre","30","14","Tarda","Abast","432116.23","4588628.93","2.186229","41.444524"
