Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S007023    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",240707,Pau Vila                                          ,12,Dimarts,Dm,Laboral,2019,9,Setembre,10,21,Tarda,Col.lisió fronto-lateral,431978.16 ,4581754.79,2.185257964227285,41.382618775433734
2019S000962    ,1,Ciutat Vella,3,la Barceloneta,224904,Joan Borbó Comte Barcelona                        ,13,Dimecres,Dc,Laboral,2019,2,Febrer,6,11,Matí,Col.lisió fronto-lateral,432154.88 ,4581503.77,2.1873994153325302,41.3803728727828
2019S006269    ,1,Ciutat Vella,3,la Barceloneta,701265,Litoral (Besòs)                                   ,K95       ,Dimarts,Dm,Laboral,2019,8,Agost,6,18,Tarda,Abast,432285.57 ,4581840.35,2.188924548973796,41.383415354989175
2019S001598    ,1,Ciutat Vella,3,la Barceloneta,145706,Ginebra / Sant Miquel                             ,,Dijous,Dj,Laboral,2019,2,Febrer,28,7,Matí,Col.lisió fronto-lateral,432169.34 ,4581624.91,2.1875587492093533,41.38146515843698
2019S004508    ,1,Ciutat Vella,3,la Barceloneta,132908,Ramon Trias Fargas                                ,4,Dissabte,Ds,Laboral,2019,6,Juny,8,1,Nit,Xoc contra element estàtic,432917.61 ,4582123.24,2.196451530885612,41.386016277791605
2019S003250    ,1,Ciutat Vella,3,la Barceloneta,701266,Pau Vila                                          ,13,Diumenge,Dg,Laboral,2019,4,Abril,28,20,Tarda,Caiguda (dues rodes),431978.16 ,4581754.79,2.185257964227285,41.382618775433734
2019S004595    ,1,Ciutat Vella,3,la Barceloneta,701266,Litoral (Llobregat)                               ,K102      ,Dimecres,Dc,Laboral,2019,6,Juny,12,8,Matí,Col.lisió lateral,431680.73 ,4581498.83,2.181730054473978,41.38028819894621
2019S006218    ,1,Ciutat Vella,3,la Barceloneta,224904,Joan Borbó Comte Barcelona                        ,60-62     ,Dilluns,Dl,Laboral,2019,8,Agost,5,5,Nit,Xoc contra element estàtic,432275.72 ,4581083.72,2.188891439056842,41.37659982557019
2019S005659    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso / Princesa                                ,,Dimarts,Dm,Laboral,2019,7,Juliol,16,22,Nit,Caiguda (dues rodes),431805.99 ,4582306.49,2.1831368820531867,41.38757313404835
2019S006208    ,2,Eixample,10,Sant Antoni,110803,Entença                                           ,40,Diumenge,Dg,Laboral,2019,8,Agost,4,16,Tarda,Col.lisió lateral,429326.43 ,4581205.58,2.153611608915419,41.37744337483941
2019S007263    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes                                   ,401,Divendres,Dv,Laboral,2019,9,Setembre,20,15,Tarda,Col.lisió lateral,429118.95 ,4581153.82,2.1511367416287683,41.376958919414335
2019S008638    ,2,Eixample,10,Sant Antoni,198804,Paral·lel / Lleida                                ,,Dijous,Dj,Laboral,2019,11,Novembre,7,23,Nit,Abast,429362.65 ,4580936.13,2.1540761537278588,41.37501973857431
2019S003557    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes                                   ,414,Divendres,Dv,Laboral,2019,5,Maig,10,7,Matí,Atropellament,429212.45 ,4581172.72,2.152252543230295,41.37713738586459
2019S005500    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar                                         ,80,Dijous,Dj,Laboral,2019,7,Juliol,11,15,Tarda,Caiguda (dues rodes),431506.42 ,4582674.69,2.179512514493312,41.39086387794606
2019S005943    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",359109,Lluís Companys                                    ,17,Divendres,Dv,Laboral,2019,7,Juliol,26,18,Tarda,Atropellament,431545,4582664.44,2.1799750907507693,41.39077484960378
2019S007114    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18200,Laietana / Antoni Maura                           ,,Dissabte,Ds,Laboral,2019,9,Setembre,14,15,Tarda,Col.lisió fronto-lateral,431279.45 ,4582061.37,2.1768676389986608,41.38532055637455
